"vr67-mbww","https://data.austintexas.gov/stories/s/emj9-r2em"
"kvyy-k37d","https://data.austintexas.gov/stories/s/tw9i-pdx2"
"p2xb-vn2u","https://data.austintexas.gov/stories/s/Percentage-of-residents-age-65-who-received-a-core/e3da-kvkn/"
"u6fu-6k7i","https://data.austintexas.gov/stories/s/jwg4-2djc"
"cart-nn2p","https://data.austintexas.gov/stories/s/mqa2-tm7r"
"9f9t-ukrk","https://data.austintexas.gov/stories/s/vmwr-d85g"
"ucs8-5rhf","https://data.austintexas.gov/stories/s/n4an-tr8w"
"v8m3-a5w9","https://data.austintexas.gov/stories/s/p65p-rump"
"w64f-g4w2","https://data.austintexas.gov/stories/s/Percentage-of-residents-who-have-access-to-parks-a/etbz-5muf/"
"2xhr-pg24","https://data.austintexas.gov/stories/s/rnwr-4s4u"
"yhvk-7b87","https://data.austintexas.gov/stories/s/ezzw-84wr"
"astb-6r6g","https://data.austintexas.gov/stories/s/2f3z-65h9"
"ic9f-r6zb","https://data.austintexas.gov/stories/s/22ei-wafp"
"ryz3-v6in","https://data.austintexas.gov/stories/s/Number-of-Days-Per-Year-of-Good-Air-Quality/nfyy-i9cj/"
"nnik-buij","https://data.austintexas.gov/stories/s/Number-of-Days-Per-Year-in-Which-Ground-Level-Ozon/r2cp-ctva/"
"k9v2-hq4d","https://data.austintexas.gov/stories/s/d5yi-gac8"
"h664-ripq","https://data.austintexas.gov/stories/s/s89s-8ru7"
"fzxi-b2pv","https://data.austintexas.gov/stories/s/gkfj-bt4r"
"czfa-tecx","https://data.austintexas.gov/stories/s/y6fs-auex"
"66zw-jgpc","https://data.austintexas.gov/stories/s/gmng-yd8s"
"wi59-k6az","https://data.austintexas.gov/stories/s/ucfh-heru"
"bdfi-d9n8","https://data.austintexas.gov/stories/s/k8ja-qxaz"
"948n-uciy","https://data.austintexas.gov/stories/s/dz3x-kc4h"
"5qna-4anv","https://data.austintexas.gov/stories/s/hnnn-h4zz/"
"xt2r-m3qc","https://data.austintexas.gov/stories/s/3h5e-xc5y"
"he92-eknj","https://data.austintexas.gov/stories/s/jnf4-hkma"
"ir4w-bdqj","https://data.austintexas.gov/stories/s/Percentage-of-food-insecure-residents-that-are-liv/sgkj-iz5y/"
"xcr9-scwz","https://data.austintexas.gov/stories/s/4qfm-q6mp"
